lon,lat,depth_m,timestamp
1.872080,45.791480,15.20,2009-04-22T12:00:00+00:00
1.872080,45.802450,12.40,2009-04-22T12:00:00+00:00
1.872080,45.809640,4.30,2009-04-22T12:00:00+00:00
1.872100,45.792120,17.20,2009-04-22T12:00:00+00:00
1.872120,45.783000,8.60,2009-04-22T12:00:00+00:00
1.872120,45.783060,7.60,2009-04-22T12:00:00+00:00
1.872120,45.791980,16.20,2009-04-22T12:00:00+00:00
1.872190,45.809600,2.90,2009-04-22T12:00:00+00:00
1.872130,45.789940,13.60,2009-04-22T12:00:00+00:00
1.871870,45.792410,19.30,2009-04-22T12:00:00+00:00
1.872130,45.814020,1.60,2009-04-22T12:00:00+00:00
1.872140,45.800340,22.80,2009-04-22T12:00:00+00:00
1.872150,45.783780,8.20,2009-04-22T12:00:00+00:00
1.872150,45.794460,20.10,2009-04-22T12:00:00+00:00
1.872150,45.806170,23.00,2009-04-22T12:00:00+00:00
1.872160,45.795830,22.00,2009-04-22T12:00:00+00:00
1.872160,45.804840,18.00,2009-04-22T12:00:00+00:00
1.872130,45.785060,12.40,2009-04-22T12:00:00+00:00
1.871640,45.783060,10.10,2009-04-22T12:00:00+00:00
1.871670,45.792640,19.40,2009-04-22T12:00:00+00:00
1.871610,45.814090,1.30,2009-04-22T12:00:00+00:00
1.871610,45.814260,1.30,2009-04-22T12:00:00+00:00
1.871610,45.814320,1.10,2009-04-22T12:00:00+00:00
1.871620,45.785210,4.90,2009-04-22T12:00:00+00:00
1.871620,45.792720,19.30,2009-04-22T12:00:00+00:00
1.871620,45.814180,1.40,2009-04-22T12:00:00+00:00
1.871600,45.789770,17.60,2009-04-22T12:00:00+00:00
1.871630,45.802380,8.00,2009-04-22T12:00:00+00:00
1.871600,45.782600,9.90,2009-04-22T12:00:00+00:00
1.871640,45.794060,20.40,2009-04-22T12:00:00+00:00
1.871640,45.809800,15.00,2009-04-22T12:00:00+00:00
1.871650,45.791040,17.70,2009-04-22T12:00:00+00:00
1.871660,45.800820,20.80,2009-04-22T12:00:00+00:00
1.871660,45.814380,0.80,2009-04-22T12:00:00+00:00
1.871670,45.782660,10.30,2009-04-22T12:00:00+00:00
1.871890,45.814230,0.80,2009-04-22T12:00:00+00:00
1.871630,45.795650,20.60,2009-04-22T12:00:00+00:00
1.871580,45.792800,19.50,2009-04-22T12:00:00+00:00
1.870950,45.789600,18.00,2009-04-22T12:00:00+00:00
1.871520,45.785260,4.00,2009-04-22T12:00:00+00:00
1.871520,45.802360,6.70,2009-04-22T12:00:00+00:00
1.871530,45.790870,18.40,2009-04-22T12:00:00+00:00
1.871530,45.809840,15.90,2009-04-22T12:00:00+00:00
1.871540,45.813920,1.60,2009-04-22T12:00:00+00:00
1.871550,45.792880,19.90,2009-04-22T12:00:00+00:00
1.871610,45.805020,12.70,2009-04-22T12:00:00+00:00
1.871580,45.784120,11.90,2009-04-22T12:00:00+00:00
1.871690,45.791770,17.80,2009-04-22T12:00:00+00:00
1.871580,45.800890,20.40,2009-04-22T12:00:00+00:00
1.871580,45.806100,22.60,2009-04-22T12:00:00+00:00
1.871580,45.813430,3.10,2009-04-22T12:00:00+00:00
1.871580,45.814010,1.50,2009-04-22T12:00:00+00:00
1.871590,45.790960,18.20,2009-04-22T12:00:00+00:00
1.871590,45.791720,17.40,2009-04-22T12:00:00+00:00
1.871590,45.797970,21.90,2009-04-22T12:00:00+00:00
1.871550,45.794000,20.70,2009-04-22T12:00:00+00:00
1.871830,45.804950,15.40,2009-04-22T12:00:00+00:00
1.871670,45.784070,11.50,2009-04-22T12:00:00+00:00
1.871800,45.800680,21.40,2009-04-22T12:00:00+00:00
1.871800,45.806140,22.40,2009-04-22T12:00:00+00:00
1.871800,45.814280,0.50,2009-04-22T12:00:00+00:00
1.871820,45.785140,7.70,2009-04-22T12:00:00+00:00
1.871820,45.789840,16.70,2009-04-22T12:00:00+00:00
1.871820,45.794200,20.00,2009-04-22T12:00:00+00:00
1.871800,45.791820,17.50,2009-04-22T12:00:00+00:00
1.871830,45.797990,21.90,2009-04-22T12:00:00+00:00
1.871770,45.791190,16.70,2009-04-22T12:00:00+00:00
1.871840,45.782790,10.10,2009-04-22T12:00:00+00:00
1.871840,45.795710,20.90,2009-04-22T12:00:00+00:00
1.871850,45.802420,10.00,2009-04-22T12:00:00+00:00
1.871850,45.809720,9.60,2009-04-22T12:00:00+00:00
1.871860,45.783960,10.80,2009-04-22T12:00:00+00:00
1.871860,45.791260,16.00,2009-04-22T12:00:00+00:00
1.871860,45.800610,20.60,2009-04-22T12:00:00+00:00
1.871820,45.813450,2.60,2009-04-22T12:00:00+00:00
1.871730,45.800750,21.00,2009-04-22T12:00:00+00:00
1.871690,45.806120,22.70,2009-04-22T12:00:00+00:00
1.871690,45.813440,2.80,2009-04-22T12:00:00+00:00
1.871710,45.789800,16.30,2009-04-22T12:00:00+00:00
1.871710,45.791110,17.50,2009-04-22T12:00:00+00:00
1.871710,45.797970,22.10,2009-04-22T12:00:00+00:00
1.871720,45.785170,6.00,2009-04-22T12:00:00+00:00
1.871720,45.804990,13.90,2009-04-22T12:00:00+00:00
1.871800,45.792480,19.50,2009-04-22T12:00:00+00:00
1.871730,45.794140,20.20,2009-04-22T12:00:00+00:00
1.871510,45.782540,10.20,2009-04-22T12:00:00+00:00
1.871740,45.795680,20.80,2009-04-22T12:00:00+00:00
1.871740,45.802400,9.00,2009-04-22T12:00:00+00:00
1.871750,45.809760,12.20,2009-04-22T12:00:00+00:00
1.871750,45.814350,8.00,2009-04-22T12:00:00+00:00
1.871760,45.782730,9.90,2009-04-22T12:00:00+00:00
1.871760,45.783060,10.20,2009-04-22T12:00:00+00:00
1.871760,45.784010,11.30,2009-04-22T12:00:00+00:00
1.871730,45.792560,19.60,2009-04-22T12:00:00+00:00
1.870200,45.785330,5.30,2009-04-22T12:00:00+00:00
1.870170,45.789450,16.90,2009-04-22T12:00:00+00:00
1.870170,45.792890,21.40,2009-04-22T12:00:00+00:00
1.870170,45.794580,16.80,2009-04-22T12:00:00+00:00
1.870170,45.811530,10.40,2009-04-22T12:00:00+00:00
1.870180,45.778430,4.20,2009-04-22T12:00:00+00:00
1.870180,45.789660,20.20,2009-04-22T12:00:00+00:00
1.870950,45.812930,4.30,2009-04-22T12:00:00+00:00
1.870200,45.783310,12.00,2009-04-22T12:00:00+00:00
1.870160,45.785410,5.40,2009-04-22T12:00:00+00:00
1.870220,45.795200,16.80,2009-04-22T12:00:00+00:00
1.870220,45.811580,10.60,2009-04-22T12:00:00+00:00
1.870230,45.777920,2.20,2009-04-22T12:00:00+00:00
1.870230,45.780280,10.00,2009-04-22T12:00:00+00:00
1.870230,45.781680,11.30,2009-04-22T12:00:00+00:00
1.870240,45.791300,21.50,2009-04-22T12:00:00+00:00
1.870240,45.794510,17.20,2009-04-22T12:00:00+00:00
1.870180,45.811500,10.90,2009-04-22T12:00:00+00:00
1.870130,45.780310,9.90,2009-04-22T12:00:00+00:00
1.870080,45.792830,20.80,2009-04-22T12:00:00+00:00
1.870090,45.789600,17.50,2009-04-22T12:00:00+00:00
1.870100,45.778490,4.90,2009-04-22T12:00:00+00:00
1.870100,45.785720,7.30,2009-04-22T12:00:00+00:00
1.870100,45.794650,16.00,2009-04-22T12:00:00+00:00
1.870100,45.811320,11.00,2009-04-22T12:00:00+00:00
1.870110,45.785630,7.40,2009-04-22T12:00:00+00:00
1.870160,45.798110,17.20,2009-04-22T12:00:00+00:00
